"gid" "Title" "Platform" "Metascore" "Avg_Userscore" "Single_player" "Action" "General" "First-Person" "Shooter" "Traditional" "Role-Playing" "Adventure" "Arcade" "Sci-Fi" "Fantasy" "Open-World" "Strategy" "Miscellaneous" "Historic" "2D" "Tactical" "Third-Person" "Real-Time" "Sports" "Racing" "Platformer" "Modern" "Action Adventure" "Team"
"38" 38 "Gran Turismo" "PlayStation" 20 61 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"39" 39 "BioShock" "PC" 20 60 0 1 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"40" 40 "Metal Gear Solid 2: Sons of Liberty" "PlayStation2" 20 63 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
"41" 41 "Grand Theft Auto Double Pack" "Xbox" 20 54 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"42" 42 "Baldur's Gate II: Shadows of Amn" "PC" 19 67 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"43" 43 "Grand Theft Auto: San Andreas" "PlayStation2" 19 65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
"44" 44 "Grand Theft Auto: Vice City" "PlayStation2" 19 63 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
"45" 45 "LittleBigPlanet" "PlayStation3" 19 43 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0
"46" 46 "The Legend of Zelda Collector's Edition" "GameCube" 19 65 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"47" 47 "Red Dead Redemption" "PlayStation3" 19 64 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0
"48" 48 "Gran Turismo 3: A-Spec" "PlayStation2" 19 59 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"49" 49 "Halo 2" "Xbox" 19 57 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"50" 50 "The Legend of Zelda: A Link to the Past" "GameBoyAdvance" 19 64 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"51" 51 "The Legend of Zelda: Majora's Mask" "Nintendo64" 19 66 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"52" 52 "The Last of Us" "PlayStation3" 19 67 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
"53" 53 "The Legend of Zelda: Twilight Princess" "Wii" 19 65 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0
"54" 54 "Madden NFL 2003" "PlayStation2" 19 49 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"55" 55 "Tony Hawk's Pro Skater 2" "GameBoyAdvance" 19 45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"56" 56 "The Last of Us Remastered" "PlayStation4" 19 66 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
